subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC02,Understanding the Self,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in Philippine History,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,AT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATFit01,PATHFit01 Movement Skill Training,BTVTED,AT,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC01,Life and Works of Rizal,BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,AT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATFit02,PATHFit02 Fitness and Wellness Activities,BTVTED,AT,1,2,2,2,0,Minor,Gymnasium,,Activity
GEC04,The Contemporary World,BTVTED,AT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED05a,"Facilitating Learner-centered 
Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1",BTVTED,AT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED08,Technology for Teaching and Learning 1,BTVTED,AT,2,1,3,3,0,Minor,Lecture Room,,Lecture
