subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC01,Life and Works of Rizal,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC04,The Contemporary World,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,CP,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATHFit01,PATHFit01 Movement Skill Training,BTVTED,CP,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC02,Understanding the Self,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in the Philippine History,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC07,Art Appreciation,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,CP,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATHFit02,PATHFit02 Fitness and Wellness Activities,BTVTED,CP,1,2,2,2,0,Minor,Gymnasium,,Activity
PED05a,Facilitating Learner-centered Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1,BTVTED,CP,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED08,Technology for Teaching and Learning 1,BTVTED,CP,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED10a,Building and Enhancing New Literacies across the Curriculum with Emphasis on the 21st Century Skills,BTVTED,CP,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED06,Assessment in Learning 1,BTVTED,CP,2,1,3,3,0,Minor,Lecture Room,,Lecture
HEO01,Home Economics Literacy,BTVTED,CP,2,1,3,3,0,Minor,Lecture Room,,Lecture
CPC01,Occupational Health and Safety Practices,BTVTED,CP,2,1,1,1,0,Minor,Lecture Room,,Lecture
CSH04,Computer System and Hardware,BTVTED,CP,2,1,3,2,1,Major,Laboratory,,Lecture+Laboratory
CPC03,Programming Languages,BTVTED,CP,2,1,3,2,1,Major,Laboratory,,Lecture+Laboratory
CPC04,Data Structure and Algorithm,BTVTED,CP,2,1,3,2,1,Major,Laboratory,,Lecture+Laboratory
PATHFit03,PATHFit03 Rhythmic Activities and/or Sports,BTVTED,CP,2,1,2,2,0,Minor,Gymnasium,,Activity
PED03a,The Teacher and the Community School Culture and Organizational Leadership with Focus on the Philippine TVET System,BTVTED,CP,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED15,Technology for Teaching and Learning 2 (TLE),BTVTED,CP,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED12,Curriculum Development and Evaluation with Emphasis on Trainers Methodology 2,BTVTED,CP,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED07a,Assessment in Learning 2 with Focus on Trainers Methodology 1 and 2,BTVTED,CP,2,2,3,3,0,Minor,Lecture Room,,Lecture
TIC02,Teaching ICT as an Exploratory Course,BTVTED,CP,2,2,3,3,0,Minor,Lecture Room,,Lecture
CPC02,Logic Switching and Theory,BTVTED,CP,2,2,3,2,1,Major,Laboratory,,Lecture+Laboratory
CPC05,Database Management System,BTVTED,CP,2,2,3,2,1,Major,Laboratory,,Lecture+Laboratory
CPC07,Object Oriented Programming,BTVTED,CP,2,2,3,2,1,Major,Laboratory,,Lecture+Laboratory
PATHFit04,PATHFit04 Recreational Activities,BTVTED,CP,2,2,2,2,0,Minor,Gymnasium,,Activity
RES01,Technology Research 1 (Methods of Research),BTVTED,CP,3,1,3,3,0,Research,Lecture Room,,Lecture
TIC04,Teaching Common Competencies in Industrial Arts,BTVTED,CP,3,1,3,3,0,Minor,Lecture Room,,Lecture
TIC06,Teaching Common Competencies in Information and Communication Technology,BTVTED,CP,3,1,3,3,0,Minor,Lecture Room,,Lecture
PED04,Foundation of Special and Inclusive Education,BTVTED,CP,3,1,3,3,0,Minor,Lecture Room,,Lecture
PED13,The Andragogy of Learning including Principles of Trainers Methodology 1,BTVTED,CP,3,1,3,3,0,Minor,Lecture Room,,Lecture
IoT01,Introduction to Mobile Technologies and Internet of Things,BTVTED,CP,3,1,4,2,2,Major,Laboratory,,Lecture+Laboratory
CPC06,Advanced Web Development,BTVTED,CP,3,1,3,2,1,Major,Laboratory,,Lecture+Laboratory
ENT01,Entrepreneurship,BTVTED,CP,3,1,3,3,0,Minor,Lecture Room,,Lecture
RES02,Technology Research 2 (Undergraduate Thesis/Research Paper/Research Project),BTVTED,CP,3,2,3,3,0,Research,Lecture Room,,Lecture
TIC07,Teaching Common Competencies in Agriculture and Fishery Arts,BTVTED,CP,3,2,3,3,0,Minor,Lecture Room,,Lecture
TIC05,Teaching Common Competencies in Home Economics,BTVTED,CP,3,2,3,3,0,Minor,Lecture Room,,Lecture
CPC08,Data Communication and Advanced Networking,BTVTED,CP,3,2,3,2,1,Major,Laboratory,,Lecture+Laboratory
IoT02,Advanced Mobile Computing,BTVTED,CP,3,2,4,2,2,Major,Laboratory,,Lecture+Laboratory
CPC09,System Analysis and Design,BTVTED,CP,3,2,3,2,1,Major,Laboratory,,Lecture+Laboratory
PED14,Work-based Learning with Emphasis on Trainers Methodology,BTVTED,CP,3,2,3,3,0,Minor,Lecture Room,,Lecture
AMC01,Supervised Industrial Training (240 Hours),BTVTED,CP,4,1,3,0,0,OJT,,,OJT
FSO01,Field Study 1,BTVTED,CP,4,1,3,3,0,Minor,Lecture Room,,Lecture
FSO02,Field Study 2,BTVTED,CP,4,1,3,3,0,Minor,Lecture Room,,Lecture
PED11,Teaching Internship (480 hours),BTVTED,CP,4,2,6,0,0,OJT,,,OJT
TCC01,Integrative Course,BTVTED,CP,4,2,3,3,0,Minor,Lecture Room,,Lecture
