subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC02,Understanding the Self,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in Philippine History,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,CT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATHFit01,Movement Skill Training,BTVTED,CT,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC01,Life and Works of Rizal,BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,CT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATHFit02,Fitness and Wellness Activities,BTVTED,CT,1,2,2,2,0,Minor,Gymnasium,PATHFit01,Activity
PED05a,Facilitating Learner-centered Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1,BTVTED,CT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED08,Technology for Teaching and Learning 1,BTVTED,CT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED10a,Building and Enhancing New Literacies across the Curriculum with Emphasis on the 21st Century Skills,BTVTED,CT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED06,Assessment in Learning 1,BTVTED,CT,2,1,3,3,0,Minor,Lecture Room,,Lecture
HEO01,Home Economics Literacy,BTVTED,CT,2,1,3,3,0,Minor,Lecture Room,,Lecture
CVT01,Occupational Health and Safety Practices,BTVTED,CT,2,1,1,1,0,Minor,Lecture Room,,Lecture
CVT02,National Building Code Implementation,BTVTED,CT,2,1,2,2,0,Minor,Lecture Room,,Lecture
CVT03,Rough and Finishing Carpentry,BTVTED,CT,2,1,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
CVT04,Rebar Work,BTVTED,CT,2,1,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
PATHFit03,Rhythmic Activities and/or Sports,BTVTED,CT,2,1,2,2,0,Minor,Gymnasium,PATHFit02,Activity
PED03a,The Teacher and the Community School Culture and Organizational Leadership with Focus on the Philippine TVET System,BTVTED,CT,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED15,Technology for Teaching and Learning 2 (TLE),BTVTED,CT,2,2,3,3,0,Minor,Lecture Room,PED08,Lecture
PED12,Curriculum Development and Evaluation with Emphasis on Trainers Methodology 2,BTVTED,CT,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED07a,Assessment in Learning 2 with Focus on Trainers Methodology 1 and 2,BTVTED,CT,2,2,3,3,0,Minor,Lecture Room,PED06,Lecture
TIC02,Teaching ICT as an Exploratory Course,BTVTED,CT,2,2,3,3,0,Minor,Lecture Room,,Lecture
CVT05,Rough and Finishing Masonry,BTVTED,CT,2,2,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
CVT06,Elementary Surveying,BTVTED,CT,2,2,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
CVT07,Plumbing,BTVTED,CT,2,2,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
