subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC01,Life and Works of Rizal,BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,ELT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATHFit01,Movement Skill Training,BTVTED,ELT,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC02,Understanding the Self,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in the Philippine History,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,ELT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATHFit02,Fitness and Wellness Activities,BTVTED,ELT,1,2,2,2,0,Minor,Gymnasium,,Activity
PED05a,Facilitating Learner-centered Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1,BTVTED,ELT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED08,Technology for Teaching and Learning 1,BTVTED,ELT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED10a,Building and Enhancing New Literacies across the Curriculum with Emphasis on the 21st Century Skills,BTVTED,ELT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED06,Assessment in Learning 1,BTVTED,ELT,2,1,3,3,0,Minor,Lecture Room,,Lecture
HEO01,Home Economics Literacy,BTVTED,ELT,2,1,3,3,0,Minor,Lecture Room,,Lecture
ELT01,Occupational Health and Safety Practices,BTVTED,ELT,2,1,1,1,0,Minor,Lecture Room,,Lecture
ELT02,Fundamentals of Electricity,BTVTED,ELT,2,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
ELT03,Electrical and Electronics Devices,BTVTED,ELT,2,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
ELT05,Direct Current Machines,BTVTED,ELT,2,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
