subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC01,Life and Works of Rizal,BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,ELX,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATHFit01,Movement Skill Training,BTVTED,ELX,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC02,Understanding the Self,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in the Philippine History,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,ELX,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATHFit02,Fitness and Wellness Activities,BTVTED,ELX,1,2,2,2,0,Minor,Gymnasium,,Activity
PED05a,Facilitating Learner-centered Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1,BTVTED,ELX,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED08,Technology for Teaching and Learning 1,BTVTED,ELX,2,1,3,3,0,Minor,Lecture Room,,Lecture
