subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC02,Understanding the Self,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in Philippine History,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC07,Art Appreciation,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,FSM,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATHFit01,Movement Skill Training,BTVTED,FSM,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC01,Life and Works of Rizal,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC04,The Contemporary World,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,FSM,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATHFit02,Fitness and Wellness Activities,BTVTED,FSM,1,2,2,2,0,Minor,Gymnasium,,Activity
PED05a,Facilitating Learner-centered Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1,BTVTED,FSM,2,1,3,3,0,Minor,Lecture Room,,Lecture
