subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC02,Understanding the Self,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC03,Readings in Philippine History,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC05,Mathematics in Modern World,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC06,Purposive Communication,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
GEC10,Kontekstuwalisadong Komunikasyon sa Filipino,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PED01,The Child and Adolescent Learner and Learning Principles,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
TIC01,Introduction to Industrial Arts,BTVTED,MT,1,1,3,3,0,Minor,Lecture Room,,Lecture
PATHFit01,Movement Skill Training,BTVTED,MT,1,1,2,2,0,Minor,Gymnasium,,Activity
GEC01,Life and Works of Rizal,BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC11,Filipino sa Iba't Ibang Disiplina,BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
GEC13,Literature of the Philippines,BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PED02,The Teaching Profession,BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
TIC03,Introduction to Agriculture and Fishery Arts,BTVTED,MT,1,2,3,3,0,Minor,Lecture Room,,Lecture
PATHFit02,Fitness and Wellness Activities,BTVTED,MT,1,2,2,2,0,Minor,Gymnasium,PATHFit01,Activity
PED05a,"Facilitating Learner-centered 
Teaching: The Learner-centered Approaches with Emphasis on Trainers Methodology 1",BTVTED,MT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED08,Technology for Teaching and Learning 1,BTVTED,MT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED10a,Building and Enhancing New Literacies across the Curriculum with Emphasis on the 21st Century Skills,BTVTED,MT,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED06,Assesment in Learning 1,BTVTED,MT,2,1,3,3,0,Minor,Lecture Room,,Lecture
HEO01,Home Economics Literacy,BTVTED,MT,2,1,3,3,0,Minor,Lecture Room,,Lecture
MET01,Occupational Health and Safety Practices,BTVTED,MT,2,1,1,1,0,Major,Lecture Room,,Lecture
MET02,Basic Machine Tools,BTVTED,MT,2,1,3,2,1,Major,MT Laboratory,,Lecture+Laboratory
MET03,Lathe Machine Operations,BTVTED,MT,2,1,3,2,1,Major,MT Laboratory,,Lecture+Laboratory
MET04,Heat Treatment,BTVTED,MT,2,1,2,1,1,Major,MT Laboratory,,Lecture+Laboratory
