sectionCode,programCode,majorCode,yearLevel,studentCount,active
BIT-CPT 1A,BIT,CPT,1,50,TRUE
BIT-CPT 1B,BIT,CPT,1,50,TRUE
BIT-CPT 1C,BIT,CPT,1,50,TRUE
BIT-CPT 2A,BIT,CPT,2,50,TRUE
BIT-CPT 2B,BIT,CPT,2,50,TRUE
BIT-CPT 3A,BIT,CPT,3,50,TRUE
BIT-CPT 3B,BIT,CPT,3,50,TRUE
BIT-CPT 4A,BIT,CPT,4,50,TRUE
BIT-CPT 4B,BIT,CPT,4,50,TRUE
BINDTECH-CPT 1A,BINDTECH,CPT,1,50,TRUE
BINDTECH-CPT 1B,BINDTECH,CPT,1,50,TRUE
BINDTECH-CPT 1C,BINDTECH,CPT,1,50,TRUE
BINDTECH-CPT 2A,BINDTECH,CPT,2,50,TRUE
BINDTECH-CPT 2B,BINDTECH,CPT,2,50,TRUE
BINDTECH-CPT 3A,BINDTECH,CPT,3,50,TRUE
BINDTECH-CPT 3B,BINDTECH,CPT,3,50,TRUE
BINDTECH-CPT 4A,BINDTECH,CPT,4,50,TRUE
BINDTECH-CPT 4B,BINDTECH,CPT,4,50,TRUE
BTVTED-AT 1A,BTVTED,AT,1,50,TRUE
BTVTED-AT 1B,BTVTED,AT,1,50,TRUE
BTVTED-AT 1C,BTVTED,AT,1,50,TRUE
BTVTED-AT 2A,BTVTED,AT,2,50,TRUE
BTVTED-AT 2B,BTVTED,AT,2,50,TRUE
BTVTED-AT 3A,BTVTED,AT,3,50,TRUE
BTVTED-AT 3B,BTVTED,AT,3,50,TRUE
BTVTED-AT 4A,BTVTED,AT,4,50,TRUE
BTVTED-AT 4B,BTVTED,AT,4,50,TRUE
BTVTED-MT 1A,BTVTED,MT,1,50,TRUE
BTVTED-MT 1B,BTVTED,MT,1,50,TRUE
BTVTED-MT 1C,BTVTED,MT,1,50,TRUE
BTVTED-MT 2A,BTVTED,MT,2,50,TRUE
BTVTED-MT 2B,BTVTED,MT,2,50,TRUE
BTVTED-MT 3A,BTVTED,MT,3,50,TRUE
BTVTED-MT 3B,BTVTED,MT,3,50,TRUE
BTVTED-MT 4A,BTVTED,MT,4,50,TRUE
BTVTED-MT 4B,BTVTED,MT,4,50,TRUE
BTVTED-CP 1A,BTVTED,CP,1,50,TRUE
BTVTED-CP 1B,BTVTED,CP,1,50,TRUE
BTVTED-CP 1C,BTVTED,CP,1,50,TRUE
BTVTED-CP 2A,BTVTED,CP,2,50,TRUE
BTVTED-CP 2B,BTVTED,CP,2,50,TRUE
BTVTED-CP 3A,BTVTED,CP,3,50,TRUE
BTVTED-CP 3B,BTVTED,CP,3,50,TRUE
BTVTED-CP 4A,BTVTED,CP,4,50,TRUE
BTVTED-CP 4B,BTVTED,CP,4,50,TRUE
BTVTED-FSM 1A,BTVTED,FSM,1,50,TRUE
BTVTED-FSM 1B,BTVTED,FSM,1,50,TRUE
BTVTED-FSM 1C,BTVTED,FSM,1,50,TRUE
BTVTED-FSM 2A,BTVTED,FSM,2,50,TRUE
BTVTED-FSM 2B,BTVTED,FSM,2,50,TRUE
BTVTED-FSM 3A,BTVTED,FSM,3,50,TRUE
BTVTED-FSM 3B,BTVTED,FSM,3,50,TRUE
BTVTED-FSM 4A,BTVTED,FSM,4,50,TRUE
BTVTED-FSM 4B,BTVTED,FSM,4,50,TRUE
BTVTED-CT 1A,BTVTED,CT,1,50,TRUE
BTVTED-CT 1B,BTVTED,CT,1,50,TRUE
BTVTED-CT 1C,BTVTED,CT,1,50,TRUE
BTVTED-CT 2A,BTVTED,CT,2,50,TRUE
BTVTED-CT 2B,BTVTED,CT,2,50,TRUE
BTVTED-CT 3A,BTVTED,CT,3,50,TRUE
BTVTED-CT 3B,BTVTED,CT,3,50,TRUE
BTVTED-CT 4A,BTVTED,CT,4,50,TRUE
BTVTED-CT 4B,BTVTED,CT,4,50,TRUE
BTVTED-ELT 1A,BTVTED,ELT,1,50,TRUE
BTVTED-ELT 1B,BTVTED,ELT,1,50,TRUE
BTVTED-ELT 1C,BTVTED,ELT,1,50,TRUE
BTVTED-ELT 2A,BTVTED,ELT,2,50,TRUE
BTVTED-ELT 2B,BTVTED,ELT,2,50,TRUE
BTVTED-ELT 3A,BTVTED,ELT,3,50,TRUE
BTVTED-ELT 3B,BTVTED,ELT,3,50,TRUE
BTVTED-ELT 4A,BTVTED,ELT,4,50,TRUE
BTVTED-ELT 4B,BTVTED,ELT,4,50,TRUE
BTVTED-ELX 1A,BTVTED,ELX,1,50,TRUE
BTVTED-ELX 1B,BTVTED,ELX,1,50,TRUE
BTVTED-ELX 1C,BTVTED,ELX,1,50,TRUE
BTVTED-ELX 2A,BTVTED,ELX,2,50,TRUE
BTVTED-ELX 2B,BTVTED,ELX,2,50,TRUE
BTVTED-ELX 3A,BTVTED,ELX,3,50,TRUE
BTVTED-ELX 3B,BTVTED,ELX,3,50,TRUE
BTVTED-ELX 4A,BTVTED,ELX,4,50,TRUE
BTVTED-ELX 4B,BTVTED,ELX,4,50,TRUE
